							bb					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	3	33	100	0.0	0.0	10558.978	00:00:00.00	0	00:01:49.75	00:02:20.03	

DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33	100	0.0	0.0	10558.978	

AVG DISTANCES
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33		0.0	0.0	10558.978	

OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33	100	0.0	0.0	00:00:00.00	

AVG OVERSPENT TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33		0.0	0.0	00:00:00.00	

TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33	100	0.0	0.0	0	

AVG TIME WINDOWS OVERRUN
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33		0.0	0.0	0.0	

MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33	100	0.0	0.0	00:01:49.75	

AVG MISSION SCHEDULER COMPUTING TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33		0.0	0.0	00:01:49.75	

OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33	100	0.0	0.0	00:02:20.03	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	bb	
	10	3	33		0.0	0.0	00:02:20.03	
