							Greedy					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Greedy	
	10	3	42	100	1.0	0.66	12942.247	
	10	3	42	200	1.0	0.66	12942.247	
	10	3	42	500	1.0	0.66	12942.247	
	10	3	42	400	1.0	0.66	12942.247	
	10	3	42	300	1.0	0.66	12942.247	
	10	4	42	100	1.0	1.0	13638.895	
	10	4	42	200	1.0	1.0	13638.895	
	10	4	42	500	1.0	1.0	13638.895	
	10	4	42	400	1.0	1.0	13638.895	
	10	4	42	300	1.0	1.0	13638.895	
	10	3	42	100	0.5	1.0	12297.007	
	10	3	42	200	0.5	1.0	12297.007	
	10	3	42	500	0.5	1.0	12297.007	
	10	3	42	400	0.5	1.0	12297.007	
	10	3	42	300	0.5	1.0	12297.007	
	10	3	42	100	1.0	1.0	13595.647	
	10	3	42	200	1.0	1.0	13595.647	
	10	3	42	500	1.0	1.0	13595.647	
	10	3	42	400	1.0	1.0	13595.647	
	10	3	42	300	1.0	1.0	13595.647	
	10	2	42	100	0.5	1.0	12455.383	
	10	2	42	200	0.5	1.0	12455.383	
	10	2	42	500	0.5	1.0	12455.383	
	10	2	42	400	0.5	1.0	12455.383	
	10	2	42	300	0.5	1.0	12455.383	
	10	4	42	100	1.0	0.33	13277.948	
	10	4	42	200	1.0	0.33	13277.948	
	10	4	42	500	1.0	0.33	13277.948	
	10	4	42	400	1.0	0.33	13277.948	
	10	4	42	300	1.0	0.33	13277.948	
	10	2	42	100	1.0	1.0	12895.968	
	10	2	42	200	1.0	1.0	12895.968	
	10	2	42	500	1.0	1.0	12895.968	
	10	2	42	400	1.0	1.0	12895.968	
	10	2	42	300	1.0	1.0	12895.968	
	10	4	42	100	0.0	0.0	12569.508	
	10	4	42	200	0.0	0.0	12569.508	
	10	4	42	500	0.0	0.0	12569.508	
	10	4	42	400	0.0	0.0	12569.508	
	10	4	42	300	0.0	0.0	12569.508	
	10	2	42	100	0.5	0.66	12614.08	
	10	2	42	200	0.5	0.66	12614.08	
	10	2	42	500	0.5	0.66	12614.08	
	10	2	42	400	0.5	0.66	12614.08	
	10	2	42	300	0.5	0.66	12614.08	
	10	2	42	100	1.0	0.33	12614.472	
	10	2	42	200	1.0	0.33	12614.472	
	10	2	42	500	1.0	0.33	12614.472	
	10	2	42	400	1.0	0.33	12614.472	
	10	2	42	300	1.0	0.33	12614.472	
	10	2	42	100	0.5	0.33	12723.649	
	10	2	42	200	0.5	0.33	12723.649	
	10	2	42	500	0.5	0.33	12723.649	
	10	2	42	400	0.5	0.33	12723.649	
	10	2	42	300	0.5	0.33	12723.649	
	10	3	42	100	1.0	0.33	13252.319	
	10	3	42	200	1.0	0.33	13252.319	
	10	3	42	500	1.0	0.33	13252.319	
	10	3	42	400	1.0	0.33	13252.319	
	10	3	42	300	1.0	0.33	13252.319	
	10	4	42	100	0.5	0.33	12170.424	
	10	4	42	200	0.5	0.33	12170.424	
	10	4	42	500	0.5	0.33	12170.424	
	10	4	42	400	0.5	0.33	12170.424	
	10	4	42	300	0.5	0.33	12170.424	
	10	3	42	100	0.5	0.33	11952.2	
	10	3	42	200	0.5	0.33	11952.2	
	10	3	42	500	0.5	0.33	11952.2	
	10	3	42	400	0.5	0.33	11952.2	
	10	3	42	300	0.5	0.33	11952.2	
	10	2	42	100	1.0	0.66	12305.542	
	10	2	42	200	1.0	0.66	12305.542	
	10	2	42	500	1.0	0.66	12305.542	
	10	2	42	400	1.0	0.66	12305.542	
	10	2	42	300	1.0	0.66	12305.542	
	10	4	42	100	0.5	1.0	12884.469	
	10	4	42	200	0.5	1.0	12884.469	
	10	4	42	500	0.5	1.0	12884.469	
	10	4	42	400	0.5	1.0	12884.469	
	10	4	42	300	0.5	1.0	12884.469	
	10	4	42	100	0.5	0.66	12724.045	
	10	4	42	200	0.5	0.66	12724.045	
	10	4	42	500	0.5	0.66	12724.045	
	10	4	42	400	0.5	0.66	12724.045	
	10	4	42	300	0.5	0.66	12724.045	
