							Linear					
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	DISTANCE	OVERSPENT TIME	TW OVERRUN	MS CPT TIME	EXEC TIME	
	10	4	21	0	0.5	0.33	00:00:26.58	
	10	4	21	500	0.5	0.33	00:00:25.86	
	10	4	21	400	0.5	0.33	00:00:22.78	
	10	4	21	300	0.5	0.33	00:00:25.95	
	10	4	21	0	0.5	1.0	00:00:24.15	
	10	4	21	500	0.5	1.0	00:00:22.18	
	10	4	21	400	0.5	1.0	00:00:22.28	
	10	4	21	300	0.5	1.0	00:00:22.10	
	10	4	21	0	1.0	1.0	00:00:24.79	
	10	4	21	500	1.0	1.0	00:00:23.26	
	10	4	21	400	1.0	1.0	00:00:21.88	
	10	4	21	300	1.0	1.0	00:00:25.90	
	10	4	21	0	0.0	0.0	00:01:17.20	
	10	4	21	500	0.0	0.0	00:00:23.93	
	10	4	21	400	0.0	0.0	00:00:25.94	
	10	4	21	300	0.0	0.0	00:00:24.43	
	10	4	21	0	1.0	0.66	00:00:22.52	
	10	4	21	500	1.0	0.66	00:00:23.05	
	10	4	21	400	1.0	0.66	00:00:21.76	
	10	4	21	300	1.0	0.66	00:00:21.77	

AVG OVERALL EXECUTION TIME
	Jobs	Machines	GSeed	ESeed	DOD	EDOD	Linear	
	10	4	21		0.5	0.66	00:00:22.75	
	10	4	21		1.0	0.33	00:00:22.83	
	10	4	21		0.5	0.33	00:00:25.29	
	10	4	21		0.5	1.0	00:00:22.68	
	10	4	21		1.0	1.0	00:00:23.96	
	10	4	21		0.0	0.0	00:00:37.87	
	10	4	21		1.0	0.66	00:00:22.28	
